doc_id,url,page_title,text_snippet,label,flood_id,pub_date
fd2bfbd1-7c17-4285-b114-c5ca379b8800,https://www.courant.com/travel/travel-news/sns-airplane-food-service-cut-20210830-7ydhyxpjv5bfhitke2td2ihbhq-story.html,"Airplane food is back, but it’s not like you remember - Hartford Courant","Full airline menus are back — but say goodbye to pre-meal cocktails, warm cookies and a lot of chitchat with your flight attendants.
After cutting most food service during the pandemic, airlines are once again offering premium dishes such as miso-marinated cod, Greek chicken salad and braised short ribs to entice the big spenders who buy first- and business-class seats.
But COVID-19 has forced changes in the way they serve food and drinks, as well as some usual offerings such as snacks, to reduc",0,22,2021-08-30
e67ec294-75e8-483f-b5ab-c9753bc707d4,https://www.kgw.com/article/news/health/coronavirus/vaccine/fda-panel-johnson-and-johnson-covid-19-booster-shots-debate/507-251de8a2-39a8-4bda-a4ea-4718d0ddb6cc,Johnson and Johnson COVID booster shots endorsed by FDA panel | kgw.com,"WASHINGTON — U.S. health advisers endorsed a booster of Johnson & Johnson’s COVID-19 vaccine Friday, citing concern that Americans who got the single-dose shot aren’t as protected as those given two-dose brands.
J&J told the Food and Drug Administration that an extra dose adds important protection as early as two months after initial vaccination — but that it might work better if people wait until six months later. Unable to settle the best timing, the FDA's advisory panel voted unanimously that",0,22,2026-05-11
d75e0fb0-4717-4b6a-969b-eae52add0b5b,https://www.kuow.org/stories/dead-cattle-more-that-could-become-sick-or-hungry-grim-stories-leak-out-of-whatcom-and-skagit-coun,"KUOW - Dead cattle, more that could become sick or hungry, grim stories leak out of Whatcom and Skagit counties","Dead cattle, more that could become sick or hungry, grim stories leak out of Whatcom and Skagit counties
Chris Sybrandy, a dairy farmer in Skagit County in northern Washington, says he recently helped haul more than 40 dead animals out of barns for his friends nearby.
“I made a decision that I needed to help them take their cows out, so they didn’t have to take their own animals out,” Sybrandy says. “Having raised these cows from babies, I didn’t want them to have to take them out themselves.”
T",1,22,2021-11-23
c9e526b9-b411-4eda-8e36-50b256e0e894,https://tucson.com/news/local/article_c630a967-366b-5c37-998e-4a188bda5489.html,Ecologists issue call to action after buffelgrass fire scorches saguaros in Catalinas | Local news | tucson.com,"It was the fire desert ecologists have been warning about for years, and they say it won’t be the last.
Dozens of saguaros burned late last week in a lightning-sparked blaze that scorched about 25 acres in the Santa Catalina Mountains.
According to U.S. Forest Service officials, it was the first known fire in the Catalinas primarily fueled by buffelgrass, an invasive plant that has taken hold across the range and throughout Southern Arizona.
“It’s a harbinger of things to come up there, unfortun",0,22,2019-08-30
56495b52-3d3c-4e24-ad2c-6e3dffbba582,https://abc13.com/plane-crash-brazil-soccer-team/1630019/,Brazilian soccer team's plane crashes in Colombia; 71 dead - ABC13 Houston,"The British Aerospace 146 short-haul plane, operated by a charter airline with roots in Venezuela, declared an emergency and lost radar contact just before 10 p.m. Monday (0300 GMT Tuesday) because of an electrical failure, aviation authorities said.
The aircraft, which had departed from Santa Cruz, Bolivia, was carrying the up and coming Chapecoense soccer team from southern Brazil for Wednesday's first leg of a two-game Copa Sudamericana final against Atletico Nacional of Medellin.
""What was s",0,22,2016-11-30
8d85c8c7-93c6-4d87-8e32-ecae1df2ebcf,"https://apnews.com/0e41fa410d2d41c3b00689910026b1d8/South-bracing-for-more-severe-storms,-rain",Quick decisions meant life or death in Southeastern storms | AP News,"Quick decisions meant life or death in Southeastern storms
As an apparent tornado bore down on them, seven people in a mobile home in southeast Alabama made a life-or-death decision: Three ran into one bathroom for shelter and four ran in the opposite direction to another room seeking safety.
The three, including Lawana Henrich, survived without a scratch, according to Coroner Robert Byrd. But a big hardwood tree that slammed into the mobile home killed the four others, including Henrich’s daugh",0,22,2017-01-03
c6213e9c-9962-4040-89a5-9a28c987c365,https://www.wbez.org/shows/wbez-news/black-vote-proves-key-in-chicago-mayoral-race/89d5ec62-5c44-45d8-b7d8-82e25850631e,Emanuel repeats victory in black wards | WBEZ Chicago,"Without the black vote, Chicago Mayor Rahm Emanuel wouldn’t have won reelection.
Four years ago, Emanuel won most of the votes in black wards. On Tuesday, he repeated that performance in a runoff by receiving on average 57 percent of the vote in those South and West side wards.
To be sure, Emanuel also fared well with white voters, especially in affluent wards. Yet both Emanuel and challenger Cook County Commissioner Jesus “Chuy” Garcia jockeyed for the black vote. The candidates tailored their ",0,22,2015-04-08
e23ad780-b060-4975-bef5-63e14797da84,https://wjla.com/station/people/jonathan-elias-07-18-2015,Jonathan Elias | WJLA,"Jonathan Elias is an award winning journalist and has been recognized both nationally and locally for covering and reporting stories. Right now Elias anchors our 4, 6, and 11 p.m. on ABC7 News, as well as our 10 p.m. on WJLA 24/7.
He also heads up the 7Salutes beat, where he is constantly looking for stories about our men and women who are serving or have served in the military.
Elias joins ABC7/WJLA-TV from WBZ in Boston where he was a primary anchor and a lead reporter. On the day of the Bosto",0,22,2015-07-17
072558a6-17e4-4b4b-a434-4ed38eb299cf,https://www.dallasnews.com/arts-entertainment/visual-arts/2021/11/23/steam-smoke-storms-and-socio-political-change-a-spectacular-jmw-turner-show-at-the-kimbell/,"J.M.W. Turner show at Fort Worth Kimbell is a spectacle of steam, storms and sociopolitical change","FORT WORTH — As evidence that life imitates art, Oscar Wilde credited French impressionist painters for “those wonderful brown fogs that come creeping down our streets, blurring the gas-lamps and changing the houses into monstrous shapes … the lovely silver mists that brood over our river, and turn to faint forms of fading grace curved bridge and swaying barge. …
“People see fogs, not because there are fogs, but because poets and painters have taught them the mysterious loveliness of such effect",0,22,2021-11-23
ca37fcfb-4789-4f47-8d0a-db62638ce0b6,https://www.opb.org/article/2021/09/08/oregon-covid-19-restrictions-movie-theaters/,New COVID restrictions begin at select Oregon movie theaters - OPB,"Tom Ranieri has owned and operated Cinema 21 in Portland for nearly 40 years, but he’s never seen audiences like the ones earlier this summer.
“There was such a pent-up demand for watching movies that our July was an incredibly strong month for us,” Ranieri says.
But following the spread of the delta variant, Ranieri says things changed dramatically as hesitant moviegoers stayed home.
“We saw grosses go way down again,” he says of the financial impact. “And to be totally honest, we’re concerned ",0,22,2021-09-08
59d8434d-8b0a-428b-9874-f8635876753f,https://www.fox5dc.com/news/amtrak-crash-scrambles-commutes-across-northeast-corridor,Amtrak crash scrambles commutes across Northeast Corridor,"By JESSICA GRESKO
Associated Press
The crash choked Amtrak's Northeast Corridor, which carries more than 750,000 passengers a day between eight states and the District of Columbia, on Amtrak and eight commuter rail lines.
Amtrak warned there would be no service until further notice between Philadelphia and New York, and that service elsewhere in the region would have to be modified. Most commuter railroads in the Northeast were operating normally, although many lacked the usual Amtrak connection",0,22,2015-05-13
